Application _Primary_Support1,Application_Annual_Cost,Application_Description,Application_Environment,Application_License_Details,Application_License_Model,Application_OS_Dependency,Application_Primary_Support2,Application_Primary_Support3,Application_Purchase_Cost,Application_Schedule_Frequency,Application_Type,Application_Vendor_Contact,Application_Vendor_Email,Application_Vendor_Name,Application_Vendor_Phone,Application_Version,Attached Storage,Batteries per String,Battery String Manufacturer Install Year,Building,Campus,Category,Change Control Plan,Change Control Plan Attached,CI ID,CI Name,CI Number,CI Type,Cooling Device,CPU Count,DAPS Management,Date Received,Department,Department Details,Drive Partitions,Escalation Procedures,Escalation Procedures Attached,External Document Repository,Floor,Host Name (For Virtual),In Service Date,Internal Support Level,IP Address,Last Edit Date/Time,Last Edit User,MAC Address,Manufacturer,Memory,Model,Name,Name (DNS),Notes,Number of Battery Strings,Operating System,Original Purchase Order,Out of Service Date,Owner,Power Device,Primary Application,Primary_Function,Purchase Cost,Purchase Date,Rack,Rail,Room Number,Serial Number,Server Type,Server_Environment,Service Contract Description,Service Contract End Date,Service Contract Number,Service Contract Purchase Order Number,Service Contract Start Date,Service Contract Term,Service Design Package,Service Design Package Attached?,Service Level Agreement,Service Level Agreement Attached,Service Management Notes,Status,Submit Date/Time,Submitter,Support Cost,Support Expiration Date,System_Audience,System_External_Contact_Details,System_Family,System_Overview,System_Owner,System_Type,Warranty Cost,Warranty Description,Warranty Expiration,Warranty Expiration Date,Warranty Number,Warranty Start Date,Warranty Term
Mike Magruder,,,,,,,,,,,Application,,,,,,,,,,,,No,No,378,SITESCAN  [Application 3-378],3-378,Application,,,,,NUIT-CI-SO-ServiceOperations,,,No,No,,,,,,,6/5/2013 16:49,dnielsen,,,,,SITESCAN,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,In Production,5/7/2013 12:03,Import [Application Import New Attributes],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,No,No,190,LobbyGuard  [Business Systems 19-190],19-190,Business Systems,,,,,NUIT-CI-SO-SOC,,,No,No,,,,,,,10/27/2014 11:54,asa729.a,,,,,LobbyGuard,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,In Service,10/27/2014 11:54,asa729.a,,,,,,,RuthAnn Ostrowski,External,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,28,E-2020 AC-12  [Cooling 29-28],29-28,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS105AUAOE1029A,E-2020 AC-12,,,,,PUR0576211,,,,,,,,,,172,C08G8E0086,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,29,E-2020 AC-14  [Cooling 29-29],29-29,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS070ADA0EI174A,E-2020 AC-14,,,,,PUR0576211,,,,,,,,,,184,C09M8E0312,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,30,E-2020 AC-15  [Cooling 29-30],29-30,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS070ADA0EI174A,E-2020 AC-15,,,,,PUR0576211,,,,,,,,,,184,C09M8E0294,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,31,E-2020 AC-16  [Cooling 29-31],29-31,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS070ADA0EI174A,E-2020 AC-16,,,,,PUR0576211,,,,,,,,,,184,C09M8E0311,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,32,E-2020 AC-17  [Cooling 29-32],29-32,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS070ADA0EI174A,E-2020 AC-17,,,,,PUR0576211,,,,,,,,,,184,C09M8E0292,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,33,E-2020 AC-18  [Cooling 29-33],29-33,Cooling,Air Cooled 30-ton CRAC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DS070ADA0EI174A,E-2020 AC-18,,,,,PUR0576211,,,,,,,,,,184,C09M8E0293,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,34,E-2020 RTU-11  [Cooling 29-34],29-34,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DCDL616-A,E-2020 RTU-11,,,,,PUR0576211,,,,,,,,,,Roof,0832C13997,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,35,E-2020 RTU-12  [Cooling 29-35],29-35,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DCDL616-A,E-2020 RTU-12,,,,,PUR0576211,,,,,,,,,,Roof,0832C13991,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,36,E-2020 RTU-14  [Cooling 29-36],29-36,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,TCDV415-A,E-2020 RTU-14,,,,,PUR0576211,,,,,,,,,,Roof,1002C25598,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,37,E-2020 RTU-15  [Cooling 29-37],29-37,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,TCDV415-A,E-2020 RTU-15,,,,,PUR0576211,,,,,,,,,,Roof,1002C25605,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,38,E-2020 RTU-16  [Cooling 29-38],29-38,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,TCDV415-A,E-2020 RTU-16,,,,,PUR0576211,,,,,,,,,,Roof,1002C25597,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,39,E-2020 RTU-17  [Cooling 29-39],29-39,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,TCDV415-A,E-2020 RTU-17,,,,,PUR0576211,,,,,,,,,,Roof,0952C25546,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,40,E-2020 RTU-18  [Cooling 29-40],29-40,Cooling,Liebert Condensing Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,TCDV415-A,E-2020 RTU-18,,,,,PUR0576211,,,,,,,,,,Roof,0952C25545,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,41,E-2020 DC-1  [Cooling 29-41],29-41,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-1,,,,,PUR0576211,,,,,,,,,,Roof,0832C13982,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,42,E-2020 DC-2  [Cooling 29-42],29-42,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-2,,,,,PUR0576211,,,,,,,,,,Roof,0831C13920,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,43,E-2020 DC-3  [Cooling 29-43],29-43,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-3,,,,,PUR0576211,,,,,,,,,,Roof,0832C13980,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,44,E-2020 DC-4  [Cooling 29-44],29-44,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-4,,,,,PUR0576211,,,,,,,,,,Roof,0832C14016,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,45,E-2020 DC-6  [Cooling 29-45],29-45,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT940A,E-2020 DC-6,,,,,PUR0576211,,,,,,,,,,Roof,0831C13913,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,46,E-2001 DC-1  [Cooling 29-46],29-46,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-1,,,,,PUR0576211,,,,,,,,,,Roof,0620C86877,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,47,E-2001 DC-2  [Cooling 29-47],29-47,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-2,,,,,PUR0576211,,,,,,,,,,Roof,0620C86708,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,48,E-2001 DC-3  [Cooling 29-48],29-48,Cooling,Liebert Dry Cooler Unit,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,DDNT466Y,E-2001 DC-3,,,,,PUR0576211,,,,,,,,,,Roof,0620C86866,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,49,LG87 CRAH-1  [Cooling 29-49],29-49,Cooling,Mini Mate AC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,MMD8TCDC00H0,LG87 CRAH-1,,,,,PUR0576211,,,,,,,,,,LG87,082IN167153,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,50,LG87 CRAH-2  [Cooling 29-50],29-50,Cooling,Mini Mate AC,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,MMD402C2400DA,LG87 CRAH-2,,,,,PUR0576211,,,,,,,,,,LG87,082IN167135,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,51,E-2020 PUMP-1  [Cooling 29-51],29-51,Cooling,Pump,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,JPM2531J,E-2020 PUMP-1,,,,,PUR0576211,,,,,,,,,,Roof,Z0804140661,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,52,E-2020 PUMP-2  [Cooling 29-52],29-52,Cooling,Pump,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,JPM2531J,E-2020 PUMP-2,,,,,PUR0576211,,,,,,,,,,Roof,Z0804140646,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,53,E-2020 PUMP-3  [Cooling 29-53],29-53,Cooling,Pump,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,JPM2531J,E-2020 PUMP-3,,,,,PUR0576211,,,,,,,,,,Roof,Z0804151536,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,54,E-2001 DUAL PUMP PACKAGE  [Cooling 29-54],29-54,Cooling,Pump Package,,,,NUIT-CI-SO,,,No,No,,,,,,,7/17/2015 14:46,pks792,,Emerson/Liebert,,D75YNT,E-2001 DUAL PUMP PACKAGE,,,,,PUR0576211,,,,,,,,,,Roof,,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Leverone Hall,Evanston,,No,No,55,E-2001 PUMP CONTROLLER  [Cooling 29-55],29-55,Cooling,Pump Package,,,,NUIT-CI-SO,,,No,No,,,,,,,3/22/2017 12:00,pks792,,Emerson/Liebert,,RP020GY06S0757,E-2001 PUMP CONTROLLER,,,,,PUR0576211,,,,,,,,,,Roof,,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2020 RIDGE AV,Evanston,,No,No,56,E-2020 PUMP PACKAGE  [Cooling 29-56],29-56,Cooling,Pump Package,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,RP030DA06S1270,E-2020 PUMP PACKAGE,,,,,PUR0576211,,,,,,,,,,Roof,1068029A,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,57,LG87 XDH-01  [Cooling 29-57],29-57,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-01,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8C6D0063,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,58,LG87 XDH-10  [Cooling 29-58],29-58,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-10,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8C6D0062,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,59,LG87 XDH-02  [Cooling 29-59],29-59,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-02,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8E6D0077,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,60,LG87 XDH-03  [Cooling 29-60],29-60,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-03,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8E6D0047,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,61,LG87 XDH-04  [Cooling 29-61],29-61,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-04,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8D6D0500,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Technological Institute,Evanston,,No,No,62,LG87 XDH-05  [Cooling 29-62],29-62,Cooling,XDH/Extreme Density In-Row,,,,NUIT-CI-SO,,,No,No,,,,,,,7/16/2015 12:09,Import [Cooling Warranty & Service Import],,Emerson/Liebert,,XDH32DK,LG87 XDH-05,,,,,PUR0576211,,,,,,,,,,LG87,0/NO8D6D0436,,,"HVAC Monthly Preventative Maintenance, Full Service Coverage",3/31/2018,PRSCONT2012-022,PUR0765304,4/1/2013,5 Year,No,No,No,No,,In Service,11/4/2013 10:20,Import [COOLING],,,,,,,,,,,,,,,
