name,fqdn,guest
EV-WEBPRINT2016TEMPLATE,UNIVERS-F7N5EFG.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SVN (AFAC6715-66D1-4A53-9204-34123955433C),,
CATRACKS VM,,
RISRETROSVR2,RISRETROSVR2.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCCLINICSRDSH6,SOCCLINICSRDSH6.SOC.NORTHWESTERN.EDU,
MAS18.TECH.NORTHWESTERN.EDU,MAS18,UBUNTU LINUX (64-BIT)
COLLABORATION.MCCORMICK.NORTHWESTERN.EDU,COLLABORATION,UBUNTU LINUX (64-BIT)
EVALUATIONS (E142E3E4-3800-497F-A6E5-B398B9C434FC),EVALUATIONS.SESPAD.NORTHWESTERN.EDU,
QUAGMIRE.SOC,QUAGMIRE.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
PROGFS.MCC-2016,PROGFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MONITOR,NEW-MONITOR.WCAS.NORTHWESTERN.EDU,
RISCISVR1-NUC,RISCISVR1-NUC.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
BURNS-S.LIBRARY.NORTHWESTERN.EDU,BURNS-S.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISISIS-PROD,RISISIS-PROD.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EZPROXY1-S.LIBRARY.NORTHWESTERN.EDU,,
LAW-NONDOMAIN,LAW-NONDOMAIN.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SCHERRMAXQDA,SCHERRMAXQDA.SOC.NORTHWESTERN.EDU,
MAS-DEV18DB.TECH.NORTHWESTERN.EDU,MAS-DEV18DB,UBUNTU LINUX (64-BIT)
SOCDOCKERDEV,SOCDOCKERDEV,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LIBFEDORA2S.LIBRARY.NORTHWESTERN.EDU (26C1B674-517C-48E3-97E2-DA7B0569812C),,
LAW-SBDB,LAW-SBDB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LAW-THREE,LAW-THREE.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EVSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,EVSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
FS.MCC-2016,FS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PLUCKY.LIBRARY.NORTHWESTERN.EDU,PLUCKY.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
BOOKWORM.LIBRARY.NORTHWESTERN.EDU,,
RISSCI-CLUB,RISSCI-CLUB.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
GCHENTEST,WIN2K12-R2-STD,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCDEPTFS,SOCDEPTFS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
JENKINS,JENKINS.RCS.NORTHWESTERN.EDU,CENTOS 4/5 OR LATER (64-BIT)
EV-WEBPRINT05.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT05.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
RISREVOSM-NUC,RISREVOSM-NUC.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MCECEFS01.MCC-2019,MCECEFS01.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
NEW-WEBAPPS1,WEBAPPS1.AD.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 5 (64-BIT)
TOMSTEST,INSTRUMENT-DNS,RED HAT ENTERPRISE LINUX 7 (64-BIT)
FS2K16TEST,FILE-2K16TEST.OARD.NORTHWESTERN.EDU,
PUNCHOUT (95490DDC-08F6-4826-995F-AAA8B9918EFD),PUNCHOUT,CENTOS 6 (64-BIT)
SOCKRONOSRDS,SOCKRONOSRDS.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
EV-WEBPRINT04.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT04.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
COISANDBOX,COISANDBOX.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
W2016_VNUINVESTFS,,
BURNS.LIBRARY.NORTHWESTERN.EDU,BURNS.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WEBHOST1.MMLC.NORTHWESTERN.EDU,MADSWEBHOST1.MMLC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
KRG-WEB2_REPLICA,KRG-WEB2-1.KELLEHER.NORTHWESTERN.EDU,OTHER 2.6.X LINUX (64-BIT)
LICENSE01.LIBRARY.NORTHWESTERN.EDU,LICENSE.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCFUSION,SOCFUSION.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
ANSEL-S.LIBRARY.NORTHWESTERN.EDU (EB809DB4-6650-4E8D-B46A-718B037D9F2B),ANSEL-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
PUPPETMASTER.LIBRARY.NORTHWESTERN.EDU (27AFDD43-24CC-44D9-84CC-121E9F054B1B),,RED HAT ENTERPRISE LINUX 6 (64-BIT)
FTP-LOC01-PRD (46BECE40-D21D-4CCA-B81B-22D25B05FC1D),FTP-LOC01-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCTESTRDS,SOCTESTRDS.SOC.NORTHWESTERN.EDU,
RISSABDATTST,RISSABDATTST.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LIBSOLR1S.LIBRARY.NORTHWESTERN.EDU (ACCCFED0-44E4-416B-881A-BD4609BEB1C5),,
VOLTA.TECH.NORTHWESTERN.EDU,VOLTA,UBUNTU LINUX (64-BIT)
RISGATSVR,RISGATSVR.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SOCDOCKERWEB,SOCDOCKERWEB,RED HAT ENTERPRISE LINUX 7 (64-BIT)
ILABS (7435CCA8-A36A-4BB4-8FFC-F0033C2D4ED5),ILABS2.SESPAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 (64-BIT)
FREENAS TEST_REPLICA,,FREEBSD PRE-11 VERSIONS (64-BIT)
SAF-CMDALL1AT,SAF-CMDALL1AT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
EV-WEBPRINT03.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT03.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
TCAT,TCAT,
SOCWEBMIGRATE,SOCWEBMIGRATE,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SAF-OHINT1BT,SAF-OHINT1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCCLINICSRDSH3,SOCCLINICSRDSH3.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-RMS4WEB1BT,SAF-RMS4WEB1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
W2016_VNUINVESTNETW,VNUINVESTNETW.IVM.NORTHWESTERN.EDU,
NEXTCLOUD (BD25C192-1D1F-49E5-9034-841EBB2295EF),NEXTCLOUD.SESP.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
RISWFPROD,RISWFPROD.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
IVANM,IVANM,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PLANNER2 (BB1547AF-4B95-47E7-9442-75B4E5D10B0B),PLANNER2,UBUNTU LINUX (64-BIT)
NUSUBDB.LING,NUSUBDB.LING.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
RISAPP-PROD2,RISAPP-PROD2.ORAD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DISCOVERY-P.LIBRARY.NORTHWESTERN.EDU,DISCOVERY-P,
SAF-NAGALL1B,SAF-NAGALL1B.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
WEB-HDL01-PRD.LIBRARY.NORTHWESTERN.EDU (8AB9998D-4725-422C-8BAA-600EA9FED4C2),WEB-HDL01-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EV-PRINTDB.LIBRARY.NORTHWESTERN.EDU,EV-PRINTDB.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
DB3,DB3.AD.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EVSTAFFFS03.LIBRARY.NORTHWESTERN.EDU,EVSTAFFFS03.LIBRARY.NORTHWESTERN.EDU,
ILABSTUDIO (DE01D812-F366-4B02-900E-D85691DF61B5),,
EV-WEBPRINT06.LIBRARY.NORTHWESTERN.EDU,EV-WEBPRINT06.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ARDPRINTER,ARDPRINTER.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-CMDALL1A (54AC7FD4-C535-4F2E-9EE7-F5267C9F7E05),SAF-CMDALL1A.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
DIR7,DIR7.AD.WCAS.NORTHWESTERN.EDU,
MENU-P.LIBRARY.NORTHWESTERN.EDU (720D113A-43F0-4BB8-B1D8-3C11E1E0E240),MENU-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SOCWSUSENDPOINT,SOCWSUSENDPOINT.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ARCHIVAL-TEST.LIBRARY.NORTHWESTERN.EDU,ARCHIVAL-TEST.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SAF-MFMALL1B,SAF-MFMALL1B.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SAF-EMSALL1B,SAF-EMSALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-RMSWEB1BT,SAF-RMSWEB1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SOCWINADMIN,SOCWINADMIN.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
WEBAPPS6,WEBAPPS6.WEINBERG.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
OBED,OBED.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
MYSQL-WHRD-PRD (9E4D67CC-D56E-4765-B1D1-D5F9F53E0421),MYSQL-WHRD-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
EVPUBRMTCS01.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTCS01.LIBRARY.NORTHWESTERN.EDU,
SAF-ODSDB1AT,SAF-ODSDB1AT.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
DIGITAL-S.LIBRARY.NORTHWESTERN.EDU (1F84E97C-C732-4DEF-891B-84476C921712),DIGITAL-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
COMPOUND DISCOVERER,COMPOUND-DISCOVERER2.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
SAF-CIDALL1A,SAF-CIDALL1A.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
TRANSFER-P.LIBRARY.NORTHWESTERN.EDU,TRANSFER-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
MAS18DB2.TECH.NORTHWESTERN.EDU,MAS18DB2,UBUNTU LINUX (64-BIT)
POSTMAN.ESAM.NORTHWESTERN.EDU,POSTMAN,UBUNTU LINUX (64-BIT)
SAF-COPALL1A (A03B5A62-4A69-4B7E-ACED-6E4F7313F5EC),,
DISCOWEB1-P.LIBRARY.NORTHWESTERN.EDU,DISCOWEB1-P,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SAF-RSPALL1A (8763C9D5-D746-46F7-ACF8-DB8E15F8B25D),SAF-RSPALL1A.DOSA.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MYSQL-DB02-PRD (2BBA8898-910B-44EA-8827-AF5BC11EE30E),MYSQL-DB02-PRD.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
DIGITAL-P.LIBRARY.NORTHWESTERN.EDU (000ED080-021C-4530-A9B6-538BA004C130),DIGITAL-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
LAW-DB,LAW-DB.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PRESS.LIBRARY.NORTHWESTERN.EDU (8369459F-418A-4EB2-8D08-544B74D7960B),PRESS,RED HAT ENTERPRISE LINUX 6 (64-BIT)
MDW-P.LIBRARY.NORTHWESTERN.EDU (662281EA-9365-4EBA-8263-6D933388E04D),MDW-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CLOUD6.MADSTUDIO.NORTHWESTERN.EDU,CLOUD6.MADSTUDIO.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
SAF-OHALL1BT,SAF-OHALL1BT.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
MENU-S.LIBRARY.NORTHWESTERN.EDU,MENU-S.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
CS-POC-WIN7-1,CS-POC-WIN7-1,
W12R2D_VNUINVESTWIL (BFE1CD7F-3400-433D-8C8A-B29F677067CF),VNUINVESTWIL.IVM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
WINDOWS SERVER 2016 STANDARDDESKTOP EXPERIENCE CLEAN,,
CLONE_K1000,,FREEBSD PRE-11 VERSIONS (64-BIT)
PCEDEVTEST2,,
UBUNTU,UBUNTU,UBUNTU LINUX (64-BIT)
EVPUBRMTUAG01-S.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTUAG01-S,VMWARE PHOTON OS (64-BIT)
KRG-WEB1_REPLICA,KRG-WEB1,RED HAT ENTERPRISE LINUX 5 (64-BIT)
WINDOWS SERVER 2019 STANDARD DESKTOP EXPERIENCE CLEAN,,
WINDOWS SERVER 2012 R2 STANDARD CLEAN,WIN2012R2STDCLEAN,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
NUANCE-DEV,NUANCE-DEV.RCS.NORTHWESTERN.EDU,CENTOS 4/5 OR LATER (64-BIT)
MATT-DEV,,
EVPUBRMTCS01-S.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTCS01-S.LIBRARY.NORTHWESTERN.EDU,
GMORSE-D,GMORSE-D,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LAW-WEBNET_REPLICA,,
TFS BUILD 4,TFSBUILD4.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS 10 (64-BIT)
WINFILES.LIBRARY.NORTHWESTERN.EDU,WINFILES.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PYPI (2B1E1228-FEB3-4FC6-9694-E9DFA9B5D394),PYPI,UBUNTU LINUX (64-BIT)
V2CLOUD3,V2CLOUD3.MMLC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MASCOT HEAD NODE,MASCOT-VM,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MCCEFS01.MCC-2019,MCCEFS01.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
LAW-FUSIONRV,LAW-FUSIONRV.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
CTDPROGRAMGUIDE (9B4834CF-0360-4AF7-AEBC-3534952214F3),PROGRAMGUIDE,UBUNTU LINUX (64-BIT)
EVPUBRMTUAG01.LIBRARY.NORTHWESTERN.EDU,EVPUBRMTUAG01,VMWARE PHOTON OS (64-BIT)
ARDDB3,ARDDB3.OARD.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DISCOLIB1-D.LIBRARY.NORTHWESTERN.EDU,DISCOLIB1-D,RED HAT ENTERPRISE LINUX 6 (64-BIT)
WEB-HDL02-STG.LIBRARY.NORTHWESTERN.EDU,WEB-HDL02-STG.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
RALPH.LIBRARY.NORTHWESTERN.EDU,RALPH.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2008 R2 (64-BIT)
SAF-OHINT1B,SAF-OHINT1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PRINTS,PRINTS.CI.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
BETA.MCC-2016,BETA.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
DUPONT.SOC,DUPONT.SOC.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
PROD.LEGACY.DOCKER.WCAS.NORTHWESTERN.EDU,PROD.LEGACY.DOCKER.WCAS.NORTHWESTERN.EDU,
PROTEOME DISCOVERER,DISCOVERER.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
W10E_VPCOPER,VPCOPER.IVM.NORTHWESTERN.EDU,
VNUINVESTEG,VNUINVESTEG,CENTOS 4/5 OR LATER (64-BIT)
SOCCLINICSRDSH4,SOCCLINICSRDSH4.SOC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
PROTEIN DECONVOLUTION,BIOPHARMAFINDER.KELLEHER.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
HOMER-P.LIBRARY.NORTHWESTERN.EDU (E6EF71E8-4CD0-4C1F-9C43-27755F8C7D20),HOMER-P.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SLATE-DEV7,SLATE-DEV7.WCAS.NORTHWESTERN.EDU,
SPEEDY.LIBRARY.NORTHWESTERN.EDU,SPEEDY.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 5 (64-BIT)
HAMPTON.LIBRARY.NORTHWESTERN.EDU,HAMPTON.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
ARCHIVAL-D.LIBRARY.NORTHWESTERN.EDU,ARCHIVAL-D.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
BMEFS.MCC-2016,BMEFS.MCC.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
OBERTH18.TECH.NORTHWESTERN.EDU,OBERTH18,UBUNTU LINUX (64-BIT)
CTSTEM-PROD (C58BC98C-467C-4B1D-9962-8BDAEB35F0D8),CTSTEM-PROD,UBUNTU LINUX (64-BIT)
JOHNSON.TECH.NORTHWESTERN.EDU,JOHNSON,UBUNTU LINUX (64-BIT)
WIKID.LIBRARY.NORTHWESTERN.EDU,WIKID.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 6 (64-BIT)
SAF-HSFS1B,SAF-HSFS1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CONFLUENCE7,CONFLUENCE7.WCAS.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
LAW-SEPM,LAW-SEPM.LAW.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
SAF-OHALL1B,SAF-OHALL1B.ADS.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
LIBREPOFILES1S.LIBRARY.NORTHWESTERN.EDU (9CFCA915-834E-404B-A51D-7DCE279D1DA8),,RED HAT ENTERPRISE LINUX 6 (64-BIT)
VFSMJSSDB02.FSM.NORTHWESTERN.EDU,VFSMJSSDB02.FSM.NORTHWESTERN.EDU,
VTIMSDB01,VTIMSDB01.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
VFSMEMSDB01.FSM.NORTHWESTERN.EDU,VFSMEMSDB01.FSM.NORTHWESTERN.EDU,
VTIMSAPP01,VTIMSAPP01.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
VFSMPULMWEBAPP1.FSM.NORTHWESTERN.EDU,VFSMPULMWEBAPP1.FSM.NORTHWESTERN.EDU,
VFSMISGMHP96DB01.FSM.NORTHWESTERN.EDU,VFSMISGMHP96DB01.FSM.NORTHWESTERN.EDU,
VFSMDEPLOY01,,
VTFSMISGMHAPP02.FSM.NORTHWESTERN.EDU,VTFSMISGMHAPP02.FSM.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
VTFSMGHSLDB03.FSM.NORTHWESTERN.EDU,VTFSMGHSLDB03.FSM.NORTHWESTERN.EDU,
VTFSMSURGHLACLT,,
VTFSMMSSWEBSTG1,VTFSMMSSWEBSTG1.FSM.NORTHWESTERN.EDU,
VFSMGHSLAPPS01,,
VTFSMCPRR01,,
VMEDIASITEAPP01,VMEDIASITEAPP01.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
PSTAGE,,RED HAT ENTERPRISE LINUX 5 (64-BIT)
VTFSMCDSIMC01,VTFSMCDSIMC01.FSM.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
VFSMMSSDBPRD1,VFSMMSSDBPRD1.FSM.NORTHWESTERN.EDU,
VTFSMCCRAILSAPPS01.FSM.NORTHWESTERN.EDU,,
VFSMNUBICDB01.FSM.NORTHWESTERN.EDU,,
VFSMMSSWEB01,VFSMMSSWEB01.FSM.NORTHWESTERN.EDU,
VFSMCI01,,
VFSMPMRDB01,VFSMPMRDB01.FSM.NORTHWESTERN.EDU,
GPROD2.FSM.NORTHWESTERN.EDU,,RED HAT ENTERPRISE LINUX 6 (64-BIT)
VTFSMCDSIPBAPP01.FSM.NORTHWESTERN.EDU,VTFSMCDSIPBAPP01.FSM.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
VFSMPATHAPP01.FSM.NORTHWESTERN.EDU,VFSMPATHAPP01.FSM.NORTHWESTERN.EDU,
VFSMWEBCAMP01,,
VFSMSPINEAGENT,,
VTFSMPREVMEDWEB01,VTFSMPREVMEDWEB01.FSM.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
VFSMCBITSDB06,,
VFSMLS01,VFSMLS01.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
VFSMPATHODSA1,VFSMPATHODSA1.FSM.NORTHWESTERN.EDU,
VTFSMCDSIAPPS01,VTFSMCDSIAPPS01.FSM.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
VFSMPMAPPS01.FSM.NORTHWESTERN.EDU,,
VFSMMHSPPSQL,VFSMMHSPPSQL.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
VFSMCHESPORTAL01.FSM.NORTHWESTERN.EDU,VFSMCHESPORTAL01.FSM.NORTHWESTERN.EDU,
VFSMBSATMPMON02,VFSMBSATMPMON02.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
VTFSMCDSIDB01N1,VTFSMCDSIDB01N1.FSM.NORTHWESTERN.EDU,CENTOS 7 (64-BIT)
VFSMSASPC02,,
VTFSMITDAA950W,,
CAS2.FSM.NORTHWESTERN.EDU,,
VFSMSURGAPPS02.FSM.NORTHWESTERN.EDU,VFSMSURGAPPS02.FSM.NORTHWESTERN.EDU,
VFSMCBITSDB09,,
