device_name,model,device_type,service_tag,service_level_code,warranty_type,warranty_description,service_provider,shipped_date,start_date,end_date,days_remaining
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,12/28/2019,12/28/2019,12/28/2024,1656
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/29/2022,12/29/2024,1657
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/28/2019,12/28/2022,925
MOTIO-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,82N0CH2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/10/2017,2/10/2017,2/10/2021,239
MOTIO-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,82N0CH2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,2/10/2017,2/10/2017,2/10/2021,239
RISAOPSTST-IDRAC.ITCS.PRIVATE,POWEREDGE R730XD,SERVER,G4S6HH2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,3/30/2017,3/30/2017,3/30/2022,652
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/27/2019,6/26/2020,10
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/27/2019,6/26/2020,10
EVRACT12-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,G42GGB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/29/2016,5/1/2020,4/29/2021,317
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/27/2019,6/26/2020,10
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/27/2019,6/26/2020,10
VMBKUP02A-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,10TYT52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/7/2015,8/9/2020,8/7/2021,417
VMBKUP02A-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,10TYT52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/7/2015,8/8/2019,8/7/2020,52
NUBIEVAPP09-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK5S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP09-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK5S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/27/2019,6/26/2020,10
NUBIEVAPP09-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK5S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP09-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK5S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/27/2019,6/26/2020,10
EVADSDC4-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,DG12182,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,11/30/2015,12/2/2019,11/30/2020,167
EVESXCLOUD32-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,H17JR52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/18/2015,6/19/2019,6/18/2020,2
VMBKUP01A-BK.ITCS.PRIVATE,POWEREDGE R630,SERVER,10V0V52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/7/2015,8/9/2020,8/7/2021,417
VMBKUP01A-BK.ITCS.PRIVATE,POWEREDGE R630,SERVER,10V0V52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/7/2015,8/8/2019,8/7/2020,52
ALPS2-IDRAC.ITCS.PRIVATE,POWEREDGE R730,SERVER,C1HLT52,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/31/2015,7/31/2015,7/31/2019,0
ALPS2-IDRAC.ITCS.PRIVATE,POWEREDGE R730,SERVER,C1HLT52,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,7/31/2015,7/31/2015,7/31/2019,0
EVSPLSRCES-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,8TQZ482,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,3/3/2016,3/3/2016,3/3/2020,0
EVESX79-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,CQ5ZT52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/14/2015,8/15/2019,8/14/2020,59
EVESX41-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,2KXKV12,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,6/20/2014,3/22/2018,6/21/2019,0
EVESX41-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,2KXKV12,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/20/2014,6/22/2018,6/21/2019,0
EVESX78-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,CQ6VT52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/14/2015,8/15/2019,8/14/2020,59
RISAOPSPRDDAT-IDRAC.ITCS.PRIVATE,POWEREDGE R730XD,SERVER,G4S5HH2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,3/31/2017,3/31/2017,3/31/2022,653
EVESX80-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,CQ5XT52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/14/2015,8/15/2019,8/14/2020,59
EVVSRX02-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHP0JB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/4/2016,6/6/2020,6/4/2021,353
EVESXCLOUD31-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,H17HR52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/18/2015,6/19/2019,6/18/2020,2
EVSPLSES01-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,3CV81Q2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/3/2018,8/3/2018,8/2/2021,412
EVESXCLOUD36-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HRK6GK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/8/2017,7/8/2017,7/8/2021,387
EVESXCLOUD37-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HRK7GK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/8/2017,7/8/2017,7/8/2021,387
EVESXCLOUD39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,84VTFK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/21/2017,6/21/2017,6/21/2021,370
EVSPLIDX02-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,BVQCS52,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/14/2015,7/14/2015,7/14/2019,0
EVESXC02N02-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0WQP2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/25/2018,5/25/2018,5/24/2023,1072
EVESXC02N02-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0WQP2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/25/2018,5/25/2021,5/25/2023,1073
EVESXC02N02-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0WQP2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/25/2018,5/25/2018,5/24/2021,342
EVCSPDPM02-BK.ITCS.PRIVATE,POWEREDGE R710,SERVER,53NJXQ1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/21/2011,7/22/2017,7/24/2018,0
EVRACT14-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,G42JGB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/29/2016,5/1/2020,4/29/2021,317
EVESXC02N03-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J245HQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,8/26/2018,8/27/2018,8/26/2023,1166
EVESXC02N03-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J245HQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2021,8/26/2023,1166
EVESXC02N03-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J245HQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2018,8/25/2021,435
EVESXTNSC01N02-IDRAC.ITCS.PRIVATE,POWEREDGE R730,SERVER,5XQ4V52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/17/2015,8/18/2019,8/17/2020,62
EVESXTNSC01N02-IDRAC.ITCS.PRIVATE,POWEREDGE R730,SERVER,5XQ4V52,P+,EXTENDED,PROSUPPORT PLUS,DELL,8/17/2015,8/18/2019,8/17/2020,62
EVESXC02N04-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J243HQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,8/26/2018,8/27/2018,8/26/2023,1166
EVESXC02N04-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J243HQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2021,8/26/2023,1166
EVESXC02N04-O34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J243HQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2018,8/25/2021,435
COIPROD-IDRAC.ITCS.PRIVATE,POWEREDGE R730XD,SERVER,236P182,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/14/2015,10/14/2015,10/14/2020,120
EVESXC02N01-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0XQP2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/25/2018,5/25/2018,5/24/2023,1072
EVESXC02N01-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0XQP2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/25/2018,5/25/2021,5/25/2023,1073
EVESXC02N01-U39-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,5Y0XQP2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/25/2018,5/25/2018,5/24/2021,342
EVNBMS02-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GRHHQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),DELL EMC,8/23/2018,8/23/2018,8/22/2022,797
EVNBMS02-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GRHHQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/23/2018,8/22/2018,8/21/2022,796
EVESXC02N07-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J247HQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,8/26/2018,8/27/2018,8/26/2023,1166
EVESXC02N07-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J247HQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2021,8/26/2023,1166
EVESXC02N07-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J247HQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2018,8/25/2021,435
BIGBEND-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2HXHX1,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,7/15/2013,7/18/2018,7/17/2019,0
BIGBEND-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2HXHX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/15/2013,7/18/2018,7/17/2019,0
EVESXCLOUD38-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,84VVFK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/21/2017,6/21/2017,6/21/2021,370
EVSPLIDX07-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,HM0DXQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/22/2018,7/22/2018,7/21/2021,400
EVSPLIDX07-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,HM0DXQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,7/22/2018,7/22/2018,7/21/2021,400
ZION-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2JVHX1,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,7/15/2013,7/18/2018,7/17/2019,0
ZION-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2JVHX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/15/2013,7/18/2018,7/17/2019,0
EVNBMSTR01-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GSCHQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),DELL EMC,8/23/2018,8/23/2018,8/22/2022,797
EVNBMSTR01-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GSCHQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/23/2018,8/22/2018,8/21/2022,796
EVNBMS01-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GS9HQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),DELL EMC,8/23/2018,8/23/2018,8/22/2022,797
EVNBMS01-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,4GS9HQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/23/2018,8/22/2018,8/21/2022,796
EVSPLIDX06-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,HM0CXQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/22/2018,7/22/2018,7/21/2021,400
EVSPLIDX06-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,HM0CXQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,7/22/2018,7/22/2018,7/21/2021,400
EVESX15-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,9SBJDX1,S4,EXTENDED,4 HOUR 5X10 ONSITE SUPPORT,UNY,5/8/2013,5/9/2014,5/8/2017,0
BRYCE-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2HWHX1,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,7/15/2013,7/18/2018,7/17/2019,0
BRYCE-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,F2HWHX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/15/2013,7/18/2018,7/17/2019,0
RISEACDATTST-IDRAC.ITCS.PRIVATE,POWEREDGE R740,SERVER,35GRCV2,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,2/6/2019,2/26/2019,2/5/2024,1329
RISEACDATTST-IDRAC.ITCS.PRIVATE,POWEREDGE R740,SERVER,35GRCV2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/6/2019,2/6/2019,2/5/2024,1329
EVCSPMBX06-IDRAC.ITCS.PRIVATE,POWEREDGE R720,SERVER,4CPKV12,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,6/22/2014,3/28/2018,6/22/2020,6
EVCSPMBX06-IDRAC.ITCS.PRIVATE,POWEREDGE R720,SERVER,4CPKV12,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/22/2014,6/22/2018,6/22/2020,6
EVESXC03N01-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W4H13,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,12/28/2019,12/28/2019,12/28/2024,1656
EVESXC03N01-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W4H13,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/29/2022,12/29/2024,1657
EVESXC03N01-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W4H13,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/28/2019,12/28/2022,925
ALPS-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,1CT7CZ1,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,12/10/2013,12/10/2013,12/10/2018,0
