device_name,model,device_type,service_tag,service_level_code,warranty_type,warranty_description,service_provider,shipped_date,start_date,end_date,days_remaining
ALPS-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,1CT7CZ1,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/10/2013,12/11/2014,12/10/2018,0
EVESXC03N02-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38V9H13,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,12/28/2019,12/28/2019,12/28/2024,1656
EVESXC03N02-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38V9H13,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/29/2022,12/29/2024,1657
EVESXC03N02-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38V9H13,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/28/2019,12/28/2022,925
VMBKUP09A-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,14J7DW2,KK,INITIAL,KEEP YOUR HARD DRIVE SERVICE,DELL,4/27/2019,4/26/2019,4/25/2023,1043
VMBKUP09A-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,14J7DW2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/27/2019,4/27/2019,4/26/2023,1044
EVVSRX04-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JMHHQ2,KK,INITIAL,KEEP YOUR HARD DRIVE SERVICE,DELL,8/20/2018,8/21/2018,8/20/2021,430
EVVSRX04-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JMHHQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/20/2018,8/20/2018,8/19/2021,429
EVVSRX04-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JMHHQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/20/2018,8/21/2018,8/20/2021,430
EVESX18-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,9S8HDX1,S4,EXTENDED,4 HOUR 5X10 ONSITE SUPPORT,UNY,5/8/2013,5/9/2014,5/8/2017,0
RISEIRB7DATTEST-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,CV3PW12,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,8/4/2014,8/6/2018,8/4/2021,414
RISEIRB7DATTEST-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,CV3PW12,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/4/2014,8/6/2018,8/3/2021,413
EVRACR6-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,D337P22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/28/2014,10/30/2019,10/28/2020,134
EVCSPMBX01-BKUP.ITCS.PRIVATE,POWEREDGE R720,SERVER,3YQTGX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/18/2013,6/19/2017,6/19/2019,0
EVRACR8-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,D345P22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/28/2014,10/30/2019,10/28/2020,134
EVESX16-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,9S9JDX1,S4,EXTENDED,4 HOUR 5X10 ONSITE SUPPORT,UNY,5/8/2013,5/9/2014,5/8/2017,0
EVRACR9-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,D355P22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/28/2014,10/30/2019,10/28/2020,134
EVCSPMBX03-BKUP.ITCS.PRIVATE,POWEREDGE R720,SERVER,3YPVGX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/18/2013,6/19/2017,6/19/2019,0
RISEIRB7DAT-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,175KN22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,9/17/2014,9/18/2018,8/5/2021,415
EVCSPMBX04-BKUP.ITCS.PRIVATE,POWEREDGE R720,SERVER,DRW48Y1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/19/2013,8/20/2017,8/20/2019,0
FFRATM1PRD-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,1HFY842,GD,EXTENDED,PROSUPPORT MISSION CRITICAL,DELL,1/30/2015,1/31/2019,1/30/2020,0
FFRATM1PRD-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,1HFY842,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,1/30/2015,1/31/2019,1/30/2020,0
VMBKUP05-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,4C26Q22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/2/2014,10/3/2015,10/2/2018,0
EVSPLIDX91-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,3Z5BH02,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/25/2014,2/26/2018,2/26/2019,0
EVESXCLOUD40-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,84VSFK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/21/2017,6/21/2017,6/21/2021,370
EVRACR10-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,D354P22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/28/2014,10/30/2019,10/28/2020,134
EVCSPMBX05-IDRAC.ITCS.PRIVATE,POWEREDGE R720,SERVER,4CPJV12,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,6/22/2014,3/28/2018,6/22/2020,6
EVCSPMBX05-IDRAC.ITCS.PRIVATE,POWEREDGE R720,SERVER,4CPJV12,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/22/2014,6/22/2018,6/22/2020,6
RISEIRB7APPTEST-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,CV4MW12,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,8/4/2014,8/6/2018,8/4/2021,414
RISEIRB7APPTEST-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,CV4MW12,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/4/2014,8/6/2018,8/3/2021,413
VMBKUP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,8WYWHK2,KK,INITIAL,KEEP YOUR HARD DRIVE SERVICE,DELL,8/3/2017,8/3/2017,8/3/2021,413
VMBKUP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,8WYWHK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/3/2017,8/3/2017,8/3/2021,413
EVCSPMBX02-BKUP.ITCS.PRIVATE,POWEREDGE R720,SERVER,3YQSGX1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/18/2013,6/19/2017,6/19/2019,0
EVCSPSSQL1-IDRAC.ITCS.PRIVATE,POWEREDGE R710,SERVER,F1BFJS1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/21/2012,2/22/2018,2/22/2019,0
EVCSPSSQL2-IDRAC.ITCS.PRIVATE,POWEREDGE R710,SERVER,F1BCJS1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/21/2012,2/22/2018,2/22/2019,0
EVESXC02N05-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J246HQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,8/26/2018,8/27/2018,8/26/2023,1166
EVESXC02N05-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J246HQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2021,8/26/2023,1166
EVESXC02N05-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J246HQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2018,8/25/2021,435
EVITCSPDC-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,12S3HQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),DELL EMC,8/10/2018,8/10/2018,8/9/2022,784
EVITCSPDC-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,12S3HQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/10/2018,8/10/2018,8/9/2022,784
EVRACR7-IDRAC.ITCS.PRIVATE,POWEREDGE R620,SERVER,D357P22,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/28/2014,10/30/2019,10/28/2020,134
EVESXCLOUD35-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHPJHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/3/2016,6/5/2020,6/3/2021,352
EVESXC01N06-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQWHH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N06-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQWHH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
EVESXC01N08-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQDJH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N08-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQDJH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/26/2021,5/26/2022,709
EVESXC01N08-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQDJH2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/24/2018,5/24/2021,342
EVESXCLOUD34-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHPHHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/3/2016,6/5/2020,6/3/2021,352
EVESXC02N06-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J244HQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,8/26/2018,8/27/2018,8/26/2023,1166
EVESXC02N06-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J244HQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2021,8/26/2023,1166
EVESXC02N06-S34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,J244HQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,8/26/2018,8/26/2018,8/25/2021,435
EVESXC01N03-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLR0JH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N03-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLR0JH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
EVESXC01N01-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQCJH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N01-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQCJH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
IDRAC-DHL1QD2,POWEREDGE R630,SERVER,DHL1QD2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/3/2016,8/3/2016,8/3/2020,48
IDRAC-DHL1QD2,POWEREDGE R630,SERVER,DHL1QD2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/3/2016,8/3/2016,8/3/2020,48
EVCSPMBX2-BKUP.ITCS.PRIVATE,POWEREDGE R710,SERVER,JHPMMN1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),QLX,12/22/2010,1/6/2017,12/22/2017,0
EVESXC01N02-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQXHH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N02-Q39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQXHH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
EVESXC01N05-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQYHH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N05-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQYHH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
EVRACT13-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,G42HGB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/29/2016,5/1/2020,4/29/2021,317
IDRAC-DHL2QD2,POWEREDGE R630,SERVER,DHL2QD2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/3/2016,8/3/2016,8/3/2020,48
IDRAC-DHL2QD2,POWEREDGE R630,SERVER,DHL2QD2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/3/2016,8/3/2016,8/3/2020,48
EVESXC01N07-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQZHH2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,5/24/2017,5/24/2017,5/24/2021,342
EVESXC01N07-T39-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HLQZHH2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,5/24/2017,5/25/2020,5/25/2021,343
COIPRODDATA-IDRAC.ITCS.PRIVATE,POWEREDGE R730XD,SERVER,235T182,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,10/14/2015,10/14/2015,10/14/2020,120
EVESXCLOUD43-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHXHHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/5/2016,6/7/2020,6/5/2021,354
EVVSRX03-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JN9HQ2,KK,INITIAL,KEEP YOUR HARD DRIVE SERVICE,DELL,8/20/2018,8/21/2018,8/20/2021,430
EVVSRX03-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JN9HQ2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/20/2018,8/20/2018,8/19/2021,429
EVVSRX03-IDRAC.ITCS.PRIVATE,POWEREDGE R740XD,SERVER,4JN9HQ2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,8/20/2018,8/21/2018,8/20/2021,430
EVVSRX01-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHNZHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/4/2016,6/6/2020,6/4/2021,353
SPL-PLH2.ITCS.PRIVATE,POWEREDGE R630,SERVER,7DWZPD2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,7/29/2016,7/29/2016,7/29/2021,408
RISEACWEBTST-IDRAC.ITCS.PRIVATE,POWEREDGE R740,SERVER,35GSCV2,KK,EXTENDED,KEEP YOUR HARD DRIVE SERVICE,DELL,2/6/2019,2/26/2019,2/5/2024,1329
RISEACWEBTST-IDRAC.ITCS.PRIVATE,POWEREDGE R740,SERVER,35GSCV2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/6/2019,2/6/2019,2/5/2024,1329
EVESXCLOUD41-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,84VWFK2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/21/2017,6/21/2017,6/21/2021,370
EVESX75-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,CQ61V52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,8/14/2015,8/15/2019,8/14/2020,59
EVESXCLOUD44-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHXVHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/5/2016,6/7/2020,6/5/2021,354
EVAIRWAVE-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,2JPN3V1,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,4/30/2012,4/30/2012,4/30/2016,0
EVAIRWAVE-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,2JPN3V1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/30/2012,4/30/2016,4/30/2018,0
EVAIRWAVE-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,2JPN3V1,P+,EXTENDED,PROSUPPORT PLUS,DELL,4/30/2012,5/5/2016,4/30/2018,0
EVAIRWAVE-IDRAC.ITCS.PRIVATE,POWEREDGE R720XD,SERVER,2JPN3V1,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,4/30/2012,5/1/2013,4/30/2016,0
EVESX86-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHXXHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/5/2016,6/7/2020,6/5/2021,354
EVESX84-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHXGHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/5/2016,6/7/2020,6/5/2021,354
EVESX85-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,HHXKHB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/5/2016,6/7/2020,6/5/2021,354
RISEIRBDATA2-IDRAC.ITCS.PRIVATE,POWEREDGE T710,SERVER,7T3NWR1,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,12/2/2011,5/22/2015,5/18/2017,0
FFRATM1PRD2-BK.ITCS.PRIVATE,POWEREDGE R640,SERVER,JCPPHQ2,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,9/4/2018,9/4/2018,9/3/2023,1174
FFRATM1PRD2-BK.ITCS.PRIVATE,POWEREDGE R640,SERVER,JCPPHQ2,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,9/4/2018,9/4/2021,9/4/2023,1175
FFRATM1PRD2-BK.ITCS.PRIVATE,POWEREDGE R640,SERVER,JCPPHQ2,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,9/4/2018,9/4/2018,9/3/2021,444
VMBKUP05A-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,8WYXHK2,KK,INITIAL,KEEP YOUR HARD DRIVE SERVICE,DELL,8/4/2017,8/3/2017,8/3/2021,413
